264183816548130816	15140428	positive
264249301910310912	18516728	negative
264105751826538497	147088367	positive
264094586689953794	332474633	negative
254941790757601280	557103111	negative
264169034155696130	382403760	neutral
263192091700654080	344222239	neutral
263398998675693568	812957996	positive
260200142420992000	332530284	neutral
264087629237202944	61903760	positive
250692636330049538	29023839	neutral
263304719471087617	564843841	neutral
263956867787673600	183985016	positive
263975113404342273	616166780	neutral
257343699460173824	10115042	positive
264125591337463808	348691527	negative
264259830590603264	183011479	negative
257239661976625152	64642600	neutral
264223934403211264	117204603	neutral
264041764460036096	198706982	positive
264102295392882689	43577828	positive
264071572925603841	43167117	positive
262115068320284672	306647135	positive
264239636799430656	864992245	neutral
257951107530252289	100101797	negative
263502599699955712	138301329	negative
236665189502681089	551910244	neutral
262384414623936512	17091853	neutral
263936581734383617	108594490	negative
249228128302551040	160639448	neutral
263346444772184065	566521127	positive
263970913270251520	15794878	positive
264162997088436224	93655075	positive
259821574394355712	23346086	positive
263800856321859584	49032667	negative
264011728084410369	24144230	neutral
264120483384008704	533302080	neutral
264056733691961345	23939440	neutral
261965816906534912	345065738	neutral
263656013541027840	913170146	neutral
165044172858986496	160465887	negative
263809311086628864	175523498	positive
263797084673691648	372303578	neutral
264162375182217217	299885545	negative
264253780797825026	201148169	neutral
260193762398064640	33442620	negative
256237809147445248	478075690	neutral
264198711113039872	113783053	positive
262977065568051201	73767786	neutral
263281866856087552	53443641	positive
262068536187432960	90333241	positive
264215390773727232	276151090	neutral
245461530206932992	222961982	positive
263391524769898496	615354091	neutral
260248287255343104	407729607	positive
256984347935141889	62265830	neutral
256416307182985217	47208627	positive
259452211883569152	63808899	neutral
263732569508552704	369152026	positive
264222052129574912	430519387	positive
213342054351257601	189656827	negative
255190216795639808	366751482	neutral
264135339327766529	159343219	neutral
263079812954992640	392639346	neutral
264088457490604032	509707361	negative
263132960507703296	449609540	neutral
253050608322502657	200261099	neutral
264203403473850368	853146211	neutral
264242024453111809	45450902	negative
256787668367704066	610413207	positive
259224351478521856	20050520	neutral
246760239221858306	7532872	positive
262862262270820352	601803511	neutral
264084352340742145	388974334	positive
264160761117552640	32215290	negative
263319006063259649	432174507	neutral
263799123847806976	22100843	neutral
263924763423035392	27133567	neutral
264183514176552961	316127177	neutral
262575945741914113	31121565	positive
263921038352580608	213263464	neutral
263748118091276288	785067278	neutral
263651627372777473	19594426	neutral
257369508086423553	531994655	positive
264249493787136000	260882576	positive
261434845773828096	391892475	negative
252798281413967872	23075654	neutral
264182638816919552	446301191	positive
264138191030874112	850357831	neutral
263864248952836096	609103932	neutral
263972222677417985	229497776	positive
263867263474597888	428841738	negative
240553933116944384	533752023	positive
262661737994670080	186089082	neutral
246320271248744448	206354030	positive
255690502970671104	18712398	neutral
261632295520333826	217685779	neutral
261184553337630720	244570235	positive
226474708487532546	59060233	neutral
247183266782789632	260477688	positive
251742524601925633	610495100	negative
261706811453886464	79601816	neutral
258989036205662208	25393624	neutral
264084748345962496	747406040	neutral
263794433596723200	41680302	positive
237571817550786563	727519172	neutral
263449315350032384	295403177	neutral
252330752665075712	268248070	positive
262903244886507521	575902991	neutral
264240983032614912	123520382	neutral
264055660864487424	346867096	neutral
247772918384320512	19885888	neutral
262206571201822721	185101254	positive
264143294903246848	331180650	negative
263247166582173696	45671664	negative
226238092191875072	141284401	negative
258887925075410944	37007849	positive
263530816162902016	323297690	positive
246588959247974401	67771614	neutral
